#name;isin;amount;currency;exdate;paymentdate
;;;;;
Komerční banka;CZ0008019106;310;CZK;15.04.2015;25.05.2015
Philip Morris ČR;CS0008418869;880;CZK;22.04.2015;n/a
O2 CR (Telefónica CR);CZ0009093209;13;CZK;27.04.2015;28.05.2015
Stock Spirit;GB00BF5SDZ96;0.01;GBP;03.09.2014;26.09.2014
O2 CR (Telefónica CR);CZ0009093209;18;CZK;24.10.2014;26.11.2014
Pegas Nonwovens;LU0275164910;1.1;EUR;16.10.2014;29.10.2014
Fortuna;NL0009604859;0.22;EUR;17.06.2014;26.06.2014
ČEZ;CZ0005112300;40;CZK;01.07.2014;01.08.2014
Philip Morris ČR *;CS0008418869;880;CZK;16.04.2014;26.05.2014
VIG;AT0000908504;1.3;EUR;11.06.2014;16.06.2014
Erste Group;AT0000652011;0.21;EUR;26.05.2014;28.05.2014
Komerční banka;CZ0008019106;230;CZK;22.04.2014;02.06.2014
Pegas Nonwovens;LU0275164910;1.05;EUR;16.10.2013;29.10.2013
ČEZ;CZ0005112300;40;CZK;21.06.2013;01.08.2013
Fortuna;NL0009604859;0.67;EUR;07.06.2013;26.06.2013
VIG;AT0000908504;1.2;EUR;13.05.2013;13.05.2013
Philip Morris ČR;CS0008418869;900;CZK;17.04.2013;27.05.2013
Erste Bank;AT0000652011;0.4;EUR;22.05.2013;24.05.2013
Telefónica CR *;CZ0009093209;30;CZK;10.10.2013;11.11.2013
Komerční banka;CZ0008019106;230;CZK;15.04.2013;27.05.2013
Telefónica CR *;CZ0009093209;13;CZK;12.11.2012;14.12.2012
New World Resources;GB00B42CTW68;0.06;EUR;05.09.2012;19.09.2012
Pegas Nonwovens;LU0275164910;1.05;EUR;17.10.2012;30.10.2012
Komerční banka;CZ0008019106;160;CZK;17.04.2012;28.05.2012
Fortuna;NL0009604859;0.23;EUR;06.06.2012;25.06.2012
ČEZ;CZ0005112300;45;CZK;28.06.2012;01.08.2012
VIG;AT0000908504;1.1;EUR;14.05.2012;14.05.2012
Philip Morris ČR;CS0008418869;920;CZK;18.04.2012;23.05.2012
Telefónica;CZ0009093209;27;CZK;10.09.2012;10.10.2012
New World Resources;GB00B42CTW68;0.07;EUR;28.03.2012;02.05.2012
New World Resources;GB00B42CTW68;0.16;EUR;31.08.2011;30.09.2011
Pegas Nonwovens;LU0275164910;1;EUR;18.10.2011;27.10.2011
VIG;AT0000908504;1;EUR;16.05.2011;16.05.2011
Fortuna;NL0009604859;0.3;EUR;06.06.2011;24.06.2011
ČEZ;CZ0005112300;50;CZK;03.06.2011;01.08.2011
Philip Morris ČR;CS0008418869;1260;CZK;20.04.2011;23.05.2011
Erste Bank;AT0000652011;0.7;EUR;17.05.2011;19.05.2011
New World Resources;GB00B42CTW68;0.22;EUR;09.03.2011;15.04.2011
Komerční banka;CZ0008019106;270;CZK;12.04.2011;23.05.2011
Telefónica O2 ČR;CZ0009093209;40;CZK;05.09.2011;06.10.2011
New World Resources;GB00B42CTW68;0.21;EUR;15.09.2010;22.10.2010
VIG;AT0000908504;0.9;EUR;05.07.2010;05.07.2010
Philip Morris ČR;CS0008418869;780;CZK;28.04.2010;24.05.2010
Pegas Nonwovens;LU0275164910;0.95;EUR;20.10.2010;29.10.2010
Erste Bank;AT0000652011;0.65;EUR;17.05.2010;19.05.2010
Telefónica O2 CR;CZ0009093209;40;CZK;06.09.2010;06.10.2010
ČEZ;CZ0005112300;53;CZK;23.06.2010;02.08.2010
Komerční banka;CZ0008019106;170;CZK;20.04.2010;31.05.2010
New World Resources;GB00B42CTW68;0.18;EUR;n/a;22.05.2009
VIG;AT0000908504;1.1;EUR;n/a;04.05.2009
Philip Morris ČR;CS0008418869;560;CZK;20.04.2009;27.05.2009
Pegas Nonwovens;LU0275164910;0.9;EUR;n/a;29.09.2009
Erste Bank;AT0000652011;0.65;EUR;n/a;19.05.2009
Telefónica O2 CR;CZ0009093209;50;CZK;n/a;07.10.2009
ČEZ;CZ0005112300;50;CZK;n/a;03.08.2009
Komerční banka;CZ0008019106;180;CZK;n/a;29.06.2009
New World Resources;GB00B42CTW68;0.28;EUR;n/a;23.10.2008
VIG;AT0000908504;1.1;EUR;n/a;28.04.2008
Pegas Nonwovens;LU0275164910;0.85;EUR;n/a;30.09.2008
Erste Bank;AT0000652011;0.75;EUR;n/a;13.05.2008
Philip Morris ČR;CS0008418869;880;CZK;n/a;26.05.2008
Unipetrol;CZ0009091500;17.65;CZK;n/a;29.08.2008
Telefónica O2 CR;CZ0009093209;50;CZK;n/a;08.10.2008
ČEZ;CZ0005112300;40;CZK;n/a;04.08.2008
Komerční banka;CZ0008019106;180;CZK;n/a;30.06.2008
